# Существительное

N:0:pA	NCXXNXXAP
N:0:pD	NCXXNXXDP
N:0:pG	NCXXNXXGP
N:0:pI	NCXXNXXIP
N:0:pL	NCXXNXXLP
N:0:pN	NCXXNXXNP
	
N:c:pA	NCXXNCXAP
N:c:pD	NCXXNCXDP
N:c:pG	NCXXNCXGP
N:c:pI	NCXXNCXIP
N:c:pL	NCXXNCXLP
N:c:pN	NCXXNCXNP
	
N:c:sA	NCXXNCXAS
N:c:sD	NCXXNCXDS
N:c:sG	NCXXNCXGS
N:c:sI	NCXXNCXIS
N:c:sL	NCXXNCXLS
N:c:sN	NCXXNCXNS
	
N:f:pA	NCXXNFXAP
N:f:pD	NCXXNFXDP
N:f:pG	NCXXNFXGP
N:f:pI	NCXXNFXIP
N:f:pL	NCXXNFXLP
N:f:pN	NCXXNFXNP
	
N:f:sA	NCXXNFXAS
N:f:sD	NCXXNFXDS
N:f:sG	NCXXNFXGS
N:f:sI	NCXXNFXIS
N:f:sL	NCXXNFXLS
N:f:sN	NCXXNFXNS
	
N:m:pA	NCXXNMXAP
N:m:pD	NCXXNMXDP
N:m:pG	NCXXNMXGP
N:m:pI	NCXXNMXIP
N:m:pL	NCXXNMXLP
N:m:pN	NCXXNMXNP
N:m:pV	NCXXNMXVP
	
N:m:sA	NCXXNMXAS
N:m:sD	NCXXNMXDS
N:m:sG	NCXXNMXGS
N:m:sI	NCXXNMXIS
N:m:sL	NCXXNMXLS
N:m:sN	NCXXNMXNS
N:m:sV	NCXXNMXVS
	
N:n:pA	NCXXNNXAP
N:n:pD	NCXXNNXDP
N:n:pG	NCXXNNXGP
N:n:pI	NCXXNNXIP
N:n:pL	NCXXNNXLP
N:n:pN	NCXXNNXNP
	
N:n:sA	NCXXNNXAS
N:n:sD	NCXXNNXDS
N:n:sG	NCXXNNXGS
N:n:sI	NCXXNNXIS
N:n:sL	NCXXNNXLS
N:n:sN	NCXXNNXNS
	
N:subst:f:pA	NCXXNF5AP
N:subst:f:pD	NCXXNF5DP
N:subst:f:pG	NCXXNF5GP
N:subst:f:pI	NCXXNF5IP
N:subst:f:pL	NCXXNF5LP
N:subst:f:pN	NCXXNF5NP
	
N:subst:f:sA	NCXXNF5AS
N:subst:f:sD	NCXXNF5DS
N:subst:f:sG	NCXXNF5GS
N:subst:f:sI	NCXXNF5IS
N:subst:f:sL	NCXXNF5LS
N:subst:f:sN	NCXXNF5NS
	
N:subst:m:pA	NCXXNM5AP
N:subst:m:pD	NCXXNM5DP
N:subst:m:pG	NCXXNM5GP
N:subst:m:pI	NCXXNM5IP
N:subst:m:pL	NCXXNM5LP
N:subst:m:pN	NCXXNM5NP
